,"('Adj Close', '^SPBLPGPT')","('Close', '^SPBLPGPT')","('High', '^SPBLPGPT')","('Low', '^SPBLPGPT')","('Open', '^SPBLPGPT')","('Volume', '^SPBLPGPT')",index
2008-11-30,7405.5,7405.5,7431.0,7353.6201171875,7416.6201171875,0.0,
2008-12-31,7048.669921875,7048.669921875,7051.27001953125,6998.9501953125,7016.4501953125,0.0,
2009-01-31,6905.39013671875,6905.39013671875,6998.25,6898.580078125,6973.31005859375,0.0,
2009-02-28,6671.72021484375,6671.72021484375,6726.759765625,6639.41015625,6719.60009765625,0.0,
2009-03-31,9237.650390625,9237.650390625,9244.4296875,8887.349609375,8887.349609375,0.0,
2009-04-30,9979.1904296875,9979.1904296875,10233.0,9965.1904296875,10110.1796875,0.0,
2009-05-31,13392.26953125,13392.26953125,13392.26953125,12952.740234375,12952.740234375,0.0,
2009-06-30,13059.7001953125,13059.7001953125,13200.7099609375,13035.33984375,13186.8203125,0.0,
2009-07-31,14092.01953125,14092.01953125,14109.51953125,13869.1396484375,13893.4501953125,0.0,
2009-08-31,13955.3798828125,13955.3798828125,14151.849609375,13926.76953125,14151.849609375,0.0,
2009-09-30,15144.2001953125,15144.2001953125,15188.259765625,15034.66015625,15034.66015625,0.0,
2009-10-31,14213.5400390625,14213.5400390625,14805.900390625,14130.01953125,14770.669921875,0.0,
2009-11-30,14129.0,14129.0,14668.4697265625,14129.0,14634.0703125,0.0,
2009-12-31,14167.2001953125,14167.2001953125,14179.3603515625,14018.91015625,14018.98046875,0.0,
2010-01-31,14440.0498046875,14440.0498046875,14612.150390625,14433.0498046875,14504.0400390625,0.0,
2010-02-28,14002.3203125,14002.3203125,14068.330078125,13959.6396484375,13985.9697265625,0.0,
2010-03-31,15129.0,15129.0,15192.3603515625,15128.6201171875,15138.2001953125,0.0,
2010-04-30,15842.259765625,15842.259765625,16010.7900390625,15842.259765625,15912.5302734375,0.0,
2010-05-31,14504.1396484375,14504.1396484375,14662.76953125,14488.740234375,14641.009765625,0.0,
2010-06-30,13985.009765625,13985.009765625,14165.400390625,13946.25,14165.400390625,0.0,
2010-07-31,14275.3798828125,14275.3798828125,14275.73046875,14179.4296875,14179.4296875,0.0,
2010-08-31,15153.330078125,15153.330078125,15200.7001953125,15111.169921875,15111.169921875,0.0,
2010-09-30,17867.359375,17867.359375,17875.560546875,17608.19921875,17724.0703125,0.0,
2010-10-31,19220.9296875,19220.9296875,19222.970703125,18990.990234375,18993.419921875,0.0,
2010-11-30,20854.5,20854.5,20959.5,20801.48046875,20801.48046875,0.0,
2010-12-31,23374.5703125,23374.5703125,23382.33984375,23244.94921875,23251.189453125,0.0,
2011-01-31,22887.41015625,22887.41015625,22894.119140625,22542.880859375,22542.880859375,0.0,
2011-02-28,22842.9609375,22842.9609375,22864.390625,22736.779296875,22764.119140625,0.0,
2011-03-31,21957.490234375,21957.490234375,21973.740234375,21804.08984375,21812.529296875,0.0,
2011-04-30,19636.220703125,19636.220703125,19776.98046875,18949.2890625,18967.640625,0.0,
2011-05-31,22375.30078125,22375.30078125,22701.509765625,22375.150390625,22613.7890625,0.0,
2011-06-30,18878.779296875,18878.779296875,18966.380859375,18727.30078125,18727.30078125,0.0,
2011-07-31,21963.099609375,21963.099609375,22308.609375,21824.2890625,22302.060546875,0.0,
2011-08-31,20697.109375,20697.109375,20707.8203125,19999.970703125,19999.970703125,0.0,
2011-09-30,18329.099609375,18329.099609375,18448.390625,18267.19921875,18441.66015625,0.0,
2011-10-31,19629.630859375,19629.630859375,20053.689453125,19550.9609375,20053.689453125,0.0,
2011-11-30,19911.8203125,19911.8203125,19987.58984375,19238.58984375,19238.58984375,0.0,
2011-12-31,19473.310546875,19473.310546875,19482.029296875,19380.380859375,19385.189453125,0.0,
2012-01-31,21948.0703125,21948.0703125,22107.23046875,21828.580078125,21849.740234375,0.0,
2012-02-29,22728.75,22728.75,22938.509765625,22676.91015625,22897.26953125,0.0,
2012-03-31,23612.01953125,23612.01953125,23660.029296875,23335.740234375,23349.25,0.0,
2012-04-30,22677.9296875,22677.9296875,22913.98046875,22656.919921875,22913.98046875,0.0,
2012-05-31,20997.560546875,20997.560546875,21297.58984375,20884.900390625,20884.900390625,0.0,
2012-06-30,20207.16015625,20207.16015625,20331.69921875,20164.8203125,20331.69921875,0.0,
2012-07-31,19652.66015625,19652.66015625,19691.419921875,19505.2109375,19691.419921875,0.0,
2012-08-31,20311.66015625,20311.66015625,20359.580078125,20167.130859375,20209.23046875,0.0,
2012-09-30,21674.7890625,21674.7890625,21761.939453125,21633.419921875,21736.0703125,0.0,
2012-10-31,20789.41015625,20789.41015625,21034.810546875,20781.76953125,20948.150390625,0.0,
2012-11-30,20044.619140625,20044.619140625,20169.849609375,19932.890625,20169.849609375,0.0,
2012-12-31,20629.349609375,20629.349609375,20629.349609375,20548.1796875,20548.1796875,0.0,
2013-01-31,21435.2890625,21435.2890625,21461.400390625,21305.76953125,21305.859375,0.0,
2013-02-28,20611.6796875,20611.6796875,20650.9296875,20523.470703125,20635.669921875,0.0,
2013-03-31,19858.94921875,19858.94921875,19934.380859375,19739.900390625,19762.849609375,0.0,
2013-04-30,17352.919921875,17352.919921875,17885.83984375,17342.470703125,17839.640625,0.0,
2013-05-31,16049.650390625,16049.650390625,16189.0498046875,15913.7900390625,16097.5400390625,0.0,
2013-06-30,15549.5498046875,15549.5498046875,15579.259765625,15137.7099609375,15168.8798828125,0.0,
2013-07-31,15118.4599609375,15118.4599609375,15157.0302734375,15037.5,15144.5498046875,0.0,
2013-08-31,16652.220703125,16652.220703125,16652.220703125,16427.25,16520.5390625,0.0,
2013-09-30,15919.7099609375,15919.7099609375,15994.3603515625,15885.419921875,15946.5400390625,0.0,
2013-10-31,16322.009765625,16322.009765625,16435.1796875,16261.419921875,16332.0703125,0.0,
2013-11-30,15200.400390625,15200.400390625,15224.51953125,15165.1904296875,15173.4404296875,0.0,
2013-12-31,15753.650390625,15753.650390625,15770.650390625,15640.4697265625,15640.4697265625,0.0,
2014-01-31,15452.0498046875,15452.0498046875,15551.990234375,15414.3701171875,15551.990234375,0.0,
2014-02-28,15441.259765625,15441.259765625,15514.75,15292.849609375,15316.3603515625,0.0,
2014-03-31,14298.919921875,14298.919921875,14323.900390625,14248.8798828125,14272.150390625,0.0,
2014-04-30,15528.3798828125,15528.3798828125,15552.900390625,15252.83984375,15252.83984375,0.0,
2014-05-31,15753.25,15753.25,15811.3203125,15600.2001953125,15686.1201171875,0.0,
2014-06-30,16662.279296875,16662.279296875,16690.76953125,16497.669921875,16507.580078125,0.0,
2014-07-31,16866.0703125,16866.0703125,16913.890625,16795.7890625,16882.830078125,0.0,
2014-08-31,17010.8203125,17010.8203125,17062.16015625,16954.05078125,17029.98046875,0.0,
2014-09-30,16226.6103515625,16226.6103515625,16566.76953125,16162.099609375,16566.76953125,0.0,
2014-10-31,15673.23046875,15673.23046875,15858.5,15648.16015625,15854.48046875,0.0,15673.23
2014-11-30,15106.4599609375,15106.4599609375,15255.400390625,15076.1298828125,15255.400390625,0.0,15106.46
2014-12-31,14794.3203125,14794.3203125,14830.9296875,14705.2197265625,14725.2998046875,0.0,14794.32
2015-01-31,13669.7802734375,13669.7802734375,13685.8603515625,13460.759765625,13460.759765625,0.0,13669.78
2015-02-28,13397.419921875,13397.419921875,13462.3095703125,13348.48046875,13351.1298828125,0.0,13397.42
2015-03-31,12461.8095703125,12461.8095703125,12473.48046875,12391.0400390625,12405.580078125,0.0,12461.81
2015-04-30,13366.8603515625,13366.8603515625,13386.76953125,13232.91015625,13239.8203125,0.0,13366.86
2015-05-31,13180.6103515625,13180.6103515625,13199.8798828125,13070.3798828125,13184.5498046875,0.0,13180.61
2015-06-30,13113.169921875,13113.169921875,13327.1396484375,13090.5400390625,13327.1396484375,0.0,13113.17
2015-07-31,11987.8798828125,11987.8798828125,12024.740234375,11941.1103515625,11970.1396484375,0.0,11987.88
2015-08-31,10340.490234375,10340.490234375,10516.4296875,10298.1396484375,10516.4296875,0.0,10340.49
2015-09-30,10030.5703125,10030.5703125,10030.58984375,9876.7900390625,9885.6298828125,0.0,10030.57
2015-10-31,10545.6103515625,10545.6103515625,10614.01953125,10530.3203125,10596.490234375,0.0,10545.61
2015-11-30,10226.1796875,10226.1796875,10263.650390625,10190.51953125,10235.16015625,0.0,10226.18
